               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075728,            0.028223,            0.034697,           0.0045755,             0.52559,            0.056366,            0.014636,            0.054582,            0.015784,            0.024834,            0.070612,           0.0032653,           0.0032653
                   1,            0.057571,            0.025134,            0.026743,             0.87434,            0.096287,             0.11323,              0.0369,            0.052186,            0.012969,            0.023063,            0.040596,           0.0065823,           0.0065823
                   2,            0.052096,            0.021757,            0.026134,             0.88768,             0.11701,             0.12461,            0.039929,            0.050534,            0.013087,            0.022793,            0.010563,           0.0098828,           0.0098828
                   3,            0.049876,            0.020724,            0.025918,              0.8797,             0.10967,             0.11865,            0.036188,            0.050059,             0.01343,             0.02311,           0.0099258,           0.0099258,           0.0099258
                   4,            0.049702,            0.020699,            0.025313,             0.86822,            0.096287,             0.11161,            0.035342,            0.049638,            0.012549,            0.022533,           0.0099258,           0.0099258,           0.0099258
                   5,            0.049068,              0.0205,            0.025558,             0.60385,            0.082902,            0.089369,             0.02678,            0.049674,             0.01537,            0.023576,            0.009901,            0.009901,            0.009901
                   6,             0.04884,            0.020493,            0.025717,             0.86709,            0.098014,             0.10537,            0.035011,             0.05078,             0.01372,            0.023963,           0.0098763,           0.0098763,           0.0098763
                   7,            0.048487,             0.02074,            0.024769,             0.85095,            0.098014,             0.09231,            0.028694,            0.052698,            0.014603,            0.024154,           0.0098515,           0.0098515,           0.0098515
                   8,            0.048786,            0.020614,            0.024911,             0.41636,             0.15896,             0.13724,            0.044497,            0.049942,            0.012781,            0.022397,           0.0098268,           0.0098268,           0.0098268
                   9,            0.048406,            0.020424,            0.023959,             0.43828,             0.16754,              0.1487,            0.048265,            0.048679,            0.012641,            0.022187,            0.009802,            0.009802,            0.009802
                  10,            0.048086,            0.020579,            0.023579,             0.39143,             0.12563,             0.12077,            0.038497,            0.051049,              0.0132,             0.02431,           0.0097773,           0.0097773,           0.0097773
                  11,            0.047801,            0.020535,            0.023679,             0.39341,             0.15221,             0.13768,             0.04464,            0.050716,            0.012607,            0.023531,           0.0097525,           0.0097525,           0.0097525
                  12,            0.048368,            0.020317,            0.023121,             0.42117,              0.1411,             0.11282,            0.038459,            0.051616,             0.01424,            0.024062,           0.0097278,           0.0097278,           0.0097278
                  13,            0.048058,            0.020142,            0.024066,             0.40248,             0.14294,             0.11064,            0.040101,            0.051391,            0.013608,            0.022273,            0.009703,            0.009703,            0.009703
                  14,            0.048163,            0.020734,            0.023647,             0.41929,             0.12226,             0.11965,            0.040357,             0.05287,            0.012773,            0.023258,           0.0096783,           0.0096783,           0.0096783
                  15,            0.047656,            0.020668,            0.023166,             0.45042,             0.12954,             0.10898,            0.034753,             0.05239,            0.014149,            0.023347,           0.0096535,           0.0096535,           0.0096535
                  16,            0.047808,            0.020702,            0.022443,              0.3809,             0.13663,            0.097412,            0.029255,            0.051291,            0.014004,             0.02485,           0.0096288,           0.0096288,           0.0096288
                  17,            0.047552,            0.020269,            0.023339,             0.45812,             0.14774,             0.13838,            0.046767,            0.051388,            0.013367,            0.023499,            0.009604,            0.009604,            0.009604
                  18,            0.047601,             0.02049,            0.023211,             0.40511,             0.16981,             0.11603,            0.039023,            0.053504,            0.013153,            0.031586,           0.0095793,           0.0095793,           0.0095793
                  19,            0.047732,            0.020828,            0.022338,             0.38383,             0.14054,             0.11515,            0.036895,            0.055205,            0.013427,            0.023905,           0.0095545,           0.0095545,           0.0095545
