               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074469,            0.012623,           0.0090928,           0.0058888,             0.33996,            0.027985,           0.0066854,            0.027017,           0.0034175,          0.00049457,            0.070149,           0.0033168,           0.0033168
                   1,            0.056412,            0.008302,          0.00081099,             0.56918,            0.063808,            0.029264,           0.0065088,             0.02483,           0.0039557,           0.0002707,            0.040132,           0.0066337,           0.0066337
                   2,            0.055638,           0.0075312,          0.00058053,             0.53201,            0.041318,            0.011764,            0.002489,            0.032512,            0.003404,          0.00014446,            0.010099,           0.0099341,           0.0099341
                   3,            0.054308,           0.0074658,          0.00032575,             0.52431,            0.024059,             0.00789,           0.0021738,            0.023884,           0.0059166,          0.00013591,           0.0099258,           0.0099258,           0.0099258
                   4,            0.052018,           0.0072853,          0.00023937,             0.66958,             0.18096,             0.13753,             0.03711,             0.02483,           0.0033423,          6.3901e-05,           0.0099258,           0.0099258,           0.0099258
                   5,            0.050974,           0.0071937,          0.00020299,             0.66257,             0.13389,             0.11379,            0.032795,            0.022326,           0.0038785,          4.7452e-05,            0.009901,            0.009901,            0.009901
                   6,            0.050564,           0.0070812,          0.00017712,             0.68646,             0.21025,             0.16046,            0.042463,             0.02302,            0.003655,           4.264e-05,           0.0098763,           0.0098763,           0.0098763
                   7,            0.049818,           0.0068829,            0.000156,             0.67857,             0.16841,              0.1369,            0.041439,            0.021305,           0.0035526,          3.3423e-05,           0.0098515,           0.0098515,           0.0098515
                   8,            0.049546,           0.0068992,          0.00014442,             0.69703,             0.18358,              0.1528,            0.034764,            0.023191,           0.0033603,          2.9476e-05,           0.0098268,           0.0098268,           0.0098268
                   9,            0.049416,           0.0070287,          0.00014055,             0.67925,             0.20084,             0.15675,            0.043493,            0.022437,            0.003379,          3.1696e-05,            0.009802,            0.009802,            0.009802
                  10,            0.049165,           0.0069118,          0.00013634,             0.11074,            0.044456,            0.047124,            0.013035,             0.02517,           0.0043629,          4.1536e-05,           0.0097773,           0.0097773,           0.0097773
