               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086271,            0.028598,            0.037024,             0.76633,            0.025043,           0.0062709,           0.0014834,            0.071315,            0.014178,            0.029724,            0.070612,           0.0032653,           0.0032653
                   1,            0.062485,             0.02487,            0.026236,               0.811,            0.069516,            0.043723,            0.010822,            0.062405,            0.014026,            0.024815,            0.040596,           0.0065823,           0.0065823
                   2,             0.05859,            0.022607,             0.02601,             0.80385,            0.084197,            0.040505,            0.012227,            0.061347,            0.016059,            0.024168,            0.010563,           0.0098828,           0.0098828
                   3,            0.055532,            0.021824,            0.025739,             0.77913,            0.037997,            0.014833,           0.0040377,            0.060793,            0.016638,            0.024408,           0.0099258,           0.0099258,           0.0099258
                   4,            0.053716,            0.021514,             0.02483,             0.83428,            0.085924,            0.060313,            0.016086,            0.057889,            0.018838,            0.022489,           0.0099258,           0.0099258,           0.0099258
                   5,            0.052564,            0.021145,             0.02486,             0.82559,            0.085924,            0.066102,            0.018856,            0.055646,            0.014686,            0.022688,            0.009901,            0.009901,            0.009901
                   6,            0.052036,             0.02098,            0.025042,             0.87355,             0.10406,             0.10342,            0.031503,            0.054507,            0.014053,            0.022493,           0.0098763,           0.0098763,           0.0098763
                   7,            0.051273,             0.02125,            0.024136,             0.86111,            0.094991,            0.085913,            0.024027,            0.055477,            0.014378,            0.021814,           0.0098515,           0.0098515,           0.0098515
                   8,            0.051284,            0.021037,            0.024667,             0.85802,            0.098446,            0.094708,            0.027849,            0.053924,             0.01334,            0.022086,           0.0098268,           0.0098268,           0.0098268
                   9,            0.050556,            0.020782,            0.023679,             0.86905,             0.10363,             0.10859,            0.032731,            0.053177,            0.013052,            0.021589,            0.009802,            0.009802,            0.009802
                  10,            0.050391,            0.020906,            0.023401,             0.66571,             0.15651,             0.12361,            0.038173,            0.052636,            0.013256,            0.021472,           0.0097773,           0.0097773,           0.0097773
                  11,            0.049736,            0.020868,             0.02346,             0.85069,            0.096718,            0.090252,             0.02984,            0.055459,            0.014846,            0.022287,           0.0097525,           0.0097525,           0.0097525
                  12,            0.050102,             0.02062,             0.02312,             0.83454,             0.11075,             0.10953,            0.036881,            0.053028,            0.013102,            0.021872,           0.0097278,           0.0097278,           0.0097278
                  13,            0.049777,            0.020419,            0.023829,             0.87716,             0.10751,             0.11763,            0.035555,             0.05301,            0.012916,            0.022076,            0.009703,            0.009703,            0.009703
                  14,            0.049941,            0.020977,            0.023463,             0.38994,             0.12963,             0.10756,            0.036785,            0.052787,            0.013368,            0.024608,           0.0096783,           0.0096783,           0.0096783
                  15,            0.049493,            0.020923,            0.023016,             0.85193,            0.098877,             0.09116,            0.026876,            0.051594,            0.013519,            0.022681,           0.0096535,           0.0096535,           0.0096535
                  16,            0.049418,            0.020982,            0.022191,             0.36352,             0.13872,             0.09947,            0.027581,            0.053368,            0.013141,            0.025305,           0.0096288,           0.0096288,           0.0096288
                  17,            0.049129,            0.020528,            0.023144,             0.79405,             0.12111,             0.11754,            0.037888,            0.052809,            0.013604,            0.022044,            0.009604,            0.009604,            0.009604
                  18,            0.049003,            0.020735,            0.023057,             0.35632,             0.11439,            0.087143,            0.027291,            0.055622,            0.014829,            0.032896,           0.0095793,           0.0095793,           0.0095793
                  19,             0.04907,            0.021089,            0.022141,             0.67514,             0.11642,            0.097278,            0.029874,            0.055013,            0.013704,            0.022243,           0.0095545,           0.0095545,           0.0095545
                  20,            0.049478,            0.020423,            0.022149,             0.35113,             0.12284,            0.093505,            0.028673,            0.055652,            0.013844,            0.023053,           0.0095298,           0.0095298,           0.0095298
                  21,            0.048746,             0.02061,             0.02197,             0.88285,             0.10724,             0.11249,            0.040061,            0.053979,            0.013189,            0.021945,            0.009505,            0.009505,            0.009505
                  22,             0.04878,            0.020704,            0.021904,              0.3767,             0.13503,            0.093569,            0.026907,            0.056463,            0.013077,            0.022884,           0.0094803,           0.0094803,           0.0094803
                  23,            0.048772,            0.020486,             0.02211,              0.6556,             0.13548,             0.11868,            0.036816,            0.052674,            0.013064,            0.023345,           0.0094555,           0.0094555,           0.0094555
                  24,            0.048236,            0.020708,            0.021585,             0.41023,             0.12122,              0.1046,            0.033616,            0.053114,            0.013191,            0.023987,           0.0094307,           0.0094307,           0.0094307
                  25,            0.048585,            0.020326,            0.021648,             0.42136,             0.13174,            0.099012,             0.02854,            0.053577,            0.013532,            0.023064,            0.009406,            0.009406,            0.009406
                  26,            0.048478,             0.02049,            0.021965,             0.43702,            0.029132,            0.041317,            0.011924,            0.059425,            0.017138,            0.026065,           0.0093813,           0.0093813,           0.0093813
                  27,             0.04858,            0.020771,            0.021751,             0.65754,              0.1142,             0.11719,            0.038144,            0.051581,            0.012846,            0.022836,           0.0093565,           0.0093565,           0.0093565
                  28,            0.047995,            0.020818,            0.021815,             0.37671,             0.12793,            0.096381,            0.029454,            0.053908,             0.01225,            0.023878,           0.0093317,           0.0093317,           0.0093317
                  29,            0.048519,            0.020453,            0.021608,             0.40022,             0.15694,             0.11861,             0.03904,             0.05162,            0.012463,            0.022773,            0.009307,            0.009307,            0.009307
                  30,            0.048175,            0.020371,            0.021206,             0.35014,            0.078707,            0.080399,            0.024198,            0.055724,            0.013971,            0.021517,           0.0092823,           0.0092823,           0.0092823
                  31,            0.047777,            0.020133,            0.021081,             0.66663,              0.1252,            0.096048,            0.032243,            0.055494,            0.013066,            0.024069,           0.0092575,           0.0092575,           0.0092575
                  32,            0.048005,            0.020748,            0.021293,             0.37007,             0.10083,             0.07019,            0.018676,            0.054961,            0.013117,            0.023374,           0.0092327,           0.0092327,           0.0092327
                  33,            0.047945,            0.020792,            0.021364,             0.48845,              0.1249,             0.12655,            0.044162,            0.049835,            0.013518,             0.02324,            0.009208,            0.009208,            0.009208
                  34,            0.047942,            0.020368,            0.020788,             0.43883,             0.12039,             0.11768,            0.037799,            0.050137,            0.012995,            0.022546,           0.0091833,           0.0091833,           0.0091833
                  35,            0.047856,             0.02062,            0.020297,             0.80711,             0.11291,             0.10184,            0.032242,             0.05455,            0.014031,            0.024397,           0.0091585,           0.0091585,           0.0091585
                  36,            0.048182,            0.020395,            0.020517,             0.58738,            0.032815,            0.050532,            0.015658,            0.055672,            0.017351,            0.025418,           0.0091337,           0.0091337,           0.0091337
                  37,             0.04815,             0.02076,            0.020971,             0.43666,             0.14049,              0.1207,            0.043629,            0.052599,            0.013294,            0.026541,            0.009109,            0.009109,            0.009109
                  38,            0.047364,            0.020633,            0.020682,             0.37421,             0.10028,             0.08572,            0.028446,            0.052521,            0.014213,            0.022585,           0.0090843,           0.0090843,           0.0090843
                  39,            0.047804,             0.02043,            0.020578,             0.40792,             0.13189,             0.11568,            0.039431,             0.05117,            0.012779,            0.024457,           0.0090595,           0.0090595,           0.0090595
                  40,             0.04739,            0.020818,            0.020664,             0.67341,             0.12801,              0.1117,            0.037882,            0.053914,              0.0138,            0.023241,           0.0090347,           0.0090347,           0.0090347
                  41,            0.047193,            0.020365,            0.020331,             0.38352,             0.14377,               0.119,            0.040086,            0.053294,             0.01339,            0.023441,             0.00901,             0.00901,             0.00901
                  42,            0.047487,            0.020289,            0.019872,             0.42898,             0.15405,             0.12576,            0.042123,            0.050645,            0.012501,            0.024012,           0.0089853,           0.0089853,           0.0089853
                  43,            0.047334,            0.020582,            0.019204,            0.019048,             0.23401,            0.040628,            0.011503,            0.057867,            0.020654,            0.030035,           0.0089605,           0.0089605,           0.0089605
                  44,            0.047595,            0.020341,            0.018828,              0.4142,             0.13862,             0.11887,            0.037505,            0.051588,            0.013817,             0.02849,           0.0089358,           0.0089358,           0.0089358
                  45,            0.046911,            0.020336,            0.019822,             0.65151,             0.13556,             0.12727,            0.044236,            0.051095,            0.012663,            0.028249,            0.008911,            0.008911,            0.008911
                  46,            0.047979,            0.020351,            0.020569,             0.40373,             0.17115,             0.12071,            0.039665,            0.050115,            0.012632,            0.029083,           0.0088863,           0.0088863,           0.0088863
                  47,            0.047664,            0.020068,            0.019536,             0.86774,             0.10751,             0.10788,            0.037548,             0.05398,            0.013284,            0.022168,           0.0088615,           0.0088615,           0.0088615
                  48,            0.046848,            0.020586,            0.018887,             0.65136,             0.12197,                0.11,             0.03849,            0.052612,            0.013708,             0.02347,           0.0088368,           0.0088368,           0.0088368
                  49,            0.047205,             0.02002,            0.019284,             0.41474,             0.14789,             0.12088,             0.04225,            0.051388,            0.013187,             0.02501,            0.008812,            0.008812,            0.008812
                  50,            0.047464,            0.020332,            0.019097,             0.39129,             0.16286,             0.13031,            0.043839,             0.05123,            0.013262,            0.027381,           0.0087872,           0.0087872,           0.0087872
                  51,            0.047011,            0.020368,            0.019161,             0.40906,             0.15901,             0.12027,            0.041905,            0.050363,             0.01352,            0.025465,           0.0087625,           0.0087625,           0.0087625
                  52,            0.046766,            0.020663,            0.018546,             0.69352,             0.11272,             0.11913,             0.03829,            0.052312,            0.013094,            0.023379,           0.0087378,           0.0087378,           0.0087378
                  53,            0.046939,            0.020417,            0.019175,             0.36098,              0.1265,            0.095307,            0.030536,            0.053979,            0.013813,            0.027912,            0.008713,            0.008713,            0.008713
                  54,            0.046608,            0.020135,              0.0188,             0.41362,             0.15676,             0.12437,            0.038678,            0.051515,            0.013314,            0.028887,           0.0086882,           0.0086882,           0.0086882
                  55,            0.046987,            0.020093,            0.018521,             0.38879,             0.15843,             0.11995,              0.0387,            0.052522,            0.013157,            0.025652,           0.0086635,           0.0086635,           0.0086635
                  56,            0.047029,            0.020092,            0.018543,             0.34027,             0.10233,            0.087218,            0.028133,            0.052291,            0.014285,            0.026606,           0.0086388,           0.0086388,           0.0086388
                  57,            0.046754,            0.020928,             0.01825,             0.39588,             0.11528,             0.11653,            0.038825,            0.050849,            0.012636,            0.025472,            0.008614,            0.008614,            0.008614
                  58,            0.046499,            0.020803,            0.018026,             0.40914,             0.15177,             0.11814,            0.039186,            0.053032,            0.012923,            0.023758,           0.0085893,           0.0085893,           0.0085893
                  59,            0.046702,            0.020102,            0.017328,             0.40829,             0.16582,             0.11565,            0.039013,            0.051911,            0.012973,            0.028442,           0.0085645,           0.0085645,           0.0085645
                  60,            0.046721,            0.020279,            0.017822,             0.42557,             0.12533,             0.11191,             0.04013,             0.05423,            0.013464,             0.03143,           0.0085398,           0.0085398,           0.0085398
                  61,            0.046425,              0.0204,            0.017301,             0.37708,             0.19377,             0.12037,            0.038099,            0.052724,            0.013419,            0.026746,            0.008515,            0.008515,            0.008515
                  62,            0.046839,            0.020168,            0.017836,             0.40544,             0.16606,             0.13391,            0.046443,            0.051198,            0.013325,            0.028751,           0.0084903,           0.0084903,           0.0084903
                  63,            0.046233,             0.02079,            0.017264,             0.40615,             0.12404,             0.11011,            0.037731,            0.052528,            0.013926,            0.025365,           0.0084655,           0.0084655,           0.0084655
                  64,            0.046361,            0.020799,            0.016574,             0.39614,             0.15632,             0.10994,            0.034161,            0.051897,            0.012609,            0.028567,           0.0084408,           0.0084408,           0.0084408
                  65,            0.046465,            0.020088,             0.01644,             0.37347,             0.14949,             0.10662,            0.035972,             0.05218,             0.01375,            0.024447,            0.008416,            0.008416,            0.008416
                  66,            0.046347,            0.020439,            0.016972,             0.48555,             0.15891,             0.13478,            0.042526,            0.052139,            0.013459,            0.026936,           0.0083913,           0.0083913,           0.0083913
                  67,            0.045984,            0.020215,            0.016903,             0.40644,             0.15413,             0.13258,            0.044898,            0.051501,            0.012571,             0.02934,           0.0083665,           0.0083665,           0.0083665
                  68,            0.046248,            0.019905,            0.017325,             0.41923,             0.15403,             0.12081,            0.040628,            0.052297,            0.013162,            0.028602,           0.0083418,           0.0083418,           0.0083418
                  69,            0.046768,            0.020415,            0.015991,             0.42427,             0.13321,              0.1145,            0.036611,            0.053116,            0.013697,            0.027569,            0.008317,            0.008317,            0.008317
                  70,            0.045816,            0.020424,            0.015671,             0.39793,             0.16996,              0.1255,            0.041333,            0.051682,            0.013102,            0.029639,           0.0082922,           0.0082922,           0.0082922
                  71,            0.046418,            0.019951,            0.016844,             0.37565,             0.15076,             0.11854,            0.038179,            0.053144,             0.01347,            0.027504,           0.0082675,           0.0082675,           0.0082675
                  72,            0.046171,            0.019878,            0.016023,             0.43102,             0.15524,             0.12616,            0.042397,            0.051595,            0.013296,            0.025755,           0.0082428,           0.0082428,           0.0082428
                  73,            0.046011,            0.020363,            0.017034,             0.40492,             0.16001,             0.10523,            0.032922,            0.054078,             0.01413,            0.029031,            0.008218,            0.008218,            0.008218
                  74,            0.046203,            0.020243,            0.015514,             0.47506,              0.1088,             0.10496,            0.035862,            0.051676,            0.013781,            0.029438,           0.0081932,           0.0081932,           0.0081932
                  75,            0.045939,            0.020294,            0.016252,             0.39537,              0.1406,             0.11475,            0.038016,            0.052713,            0.012944,             0.03111,           0.0081685,           0.0081685,           0.0081685
                  76,            0.045641,            0.020267,            0.015309,             0.39026,              0.1752,             0.11941,             0.04105,            0.053463,            0.012612,            0.026606,           0.0081437,           0.0081437,           0.0081437
                  77,            0.045399,            0.020046,            0.015079,             0.42687,             0.14688,             0.12826,            0.042915,            0.052372,            0.012901,            0.030543,            0.008119,            0.008119,            0.008119
                  78,            0.045083,            0.019632,            0.015573,             0.39834,             0.14162,             0.11773,            0.039949,            0.053071,            0.012663,            0.031601,           0.0080942,           0.0080942,           0.0080942
                  79,            0.045959,            0.019721,            0.014968,             0.38244,             0.14116,             0.11191,            0.035844,            0.052605,            0.013255,            0.028362,           0.0080695,           0.0080695,           0.0080695
                  80,            0.045543,            0.019946,            0.015404,             0.40605,             0.16204,             0.13033,            0.045239,            0.051956,             0.01347,            0.026629,           0.0080447,           0.0080447,           0.0080447
                  81,            0.045259,            0.019812,            0.014633,             0.39909,             0.13647,               0.127,            0.044082,            0.051217,            0.013052,            0.027026,             0.00802,             0.00802,             0.00802
                  82,            0.044995,            0.019737,            0.015065,             0.39942,             0.15848,             0.11532,            0.036422,             0.05146,            0.012909,             0.03128,           0.0079953,           0.0079953,           0.0079953
                  83,               0.045,            0.019926,            0.014552,              0.3833,             0.13992,             0.11387,            0.038102,            0.052133,            0.013584,            0.026783,           0.0079705,           0.0079705,           0.0079705
                  84,            0.044996,            0.019784,            0.014784,             0.41155,             0.13876,             0.11673,            0.039393,            0.051925,            0.013654,            0.027641,           0.0079457,           0.0079457,           0.0079457
                  85,            0.044781,            0.019745,            0.013796,             0.41933,             0.16189,             0.11876,              0.0382,            0.051278,            0.012364,            0.030586,            0.007921,            0.007921,            0.007921
                  86,            0.045234,            0.019826,            0.014158,             0.39034,             0.15802,             0.11498,             0.03783,            0.052637,            0.012965,            0.032762,           0.0078963,           0.0078963,           0.0078963
                  87,            0.045018,            0.020035,            0.013888,             0.41395,             0.16572,             0.12615,            0.041563,            0.050467,            0.013016,            0.031974,           0.0078715,           0.0078715,           0.0078715
                  88,            0.044733,            0.019946,            0.013875,             0.40891,             0.16095,             0.12617,            0.042589,              0.0534,            0.013514,            0.029259,           0.0078467,           0.0078467,           0.0078467
                  89,            0.044828,            0.019871,            0.014098,             0.36328,             0.15746,             0.12964,            0.045564,            0.052057,             0.01301,            0.026755,            0.007822,            0.007822,            0.007822
                  90,            0.044827,            0.020191,            0.013696,             0.39796,             0.14729,            0.093251,            0.027655,             0.05313,             0.01414,            0.037354,           0.0077973,           0.0077973,           0.0077973
                  91,            0.044719,            0.019814,            0.013168,             0.46728,             0.14143,             0.13232,            0.043411,            0.051401,            0.013196,            0.028592,           0.0077725,           0.0077725,           0.0077725
                  92,            0.044776,            0.020051,            0.013197,             0.44738,             0.16016,             0.13123,            0.045393,            0.051645,            0.013749,            0.029523,           0.0077478,           0.0077478,           0.0077478
                  93,            0.044673,            0.019828,            0.013204,             0.41483,             0.15164,             0.11698,            0.036509,            0.051419,             0.01276,            0.027214,            0.007723,            0.007723,            0.007723
                  94,            0.044494,            0.019934,            0.013614,             0.41783,             0.17979,             0.12609,            0.040941,            0.051724,             0.01284,            0.031327,           0.0076983,           0.0076983,           0.0076983
                  95,            0.043519,            0.019614,            0.013392,             0.44345,             0.14393,              0.1206,            0.038756,            0.052587,            0.013291,            0.030955,           0.0076735,           0.0076735,           0.0076735
                  96,            0.043751,            0.020099,            0.012699,             0.39846,             0.14618,             0.11161,            0.035475,            0.052033,            0.013128,            0.030866,           0.0076488,           0.0076488,           0.0076488
                  97,              0.0442,            0.019272,            0.013421,             0.39912,             0.16339,             0.12064,            0.039887,            0.051573,            0.013618,            0.031951,            0.007624,            0.007624,            0.007624
                  98,            0.044081,            0.019698,            0.012669,             0.43076,               0.161,             0.12732,            0.044312,             0.05112,            0.014104,            0.028341,           0.0075993,           0.0075993,           0.0075993
                  99,            0.044108,            0.020238,             0.01295,             0.41254,             0.15065,             0.12475,            0.042857,             0.05065,            0.013049,            0.028003,           0.0075745,           0.0075745,           0.0075745
                 100,            0.044125,             0.02007,            0.012382,             0.39259,             0.17197,             0.12272,            0.043012,            0.052147,            0.013019,            0.026189,           0.0075498,           0.0075498,           0.0075498
                 101,            0.043794,            0.019619,            0.012472,             0.44367,             0.16955,             0.12565,            0.041076,            0.050438,            0.013361,            0.029215,            0.007525,            0.007525,            0.007525
                 102,            0.043796,            0.019466,            0.012159,             0.39612,              0.1671,             0.12656,            0.042441,            0.053549,            0.012781,            0.029807,           0.0075003,           0.0075003,           0.0075003
                 103,             0.04312,            0.019994,             0.01187,             0.41332,              0.1655,             0.12257,            0.040725,            0.053824,            0.012612,            0.028169,           0.0074755,           0.0074755,           0.0074755
                 104,            0.043261,            0.019614,            0.012091,             0.44671,             0.16001,             0.13055,            0.043019,            0.052509,            0.012507,            0.027966,           0.0074507,           0.0074507,           0.0074507
                 105,            0.043652,            0.019566,            0.012127,             0.41218,             0.16224,             0.11959,            0.038266,            0.052962,            0.012493,            0.034729,            0.007426,            0.007426,            0.007426
                 106,              0.0432,            0.019458,            0.012098,             0.39906,             0.17759,             0.13075,            0.044335,            0.052825,              0.0122,            0.027201,           0.0074013,           0.0074013,           0.0074013
                 107,            0.043606,            0.019501,            0.011643,             0.37725,             0.15755,              0.1198,            0.041836,            0.052458,            0.012641,            0.028751,           0.0073765,           0.0073765,           0.0073765
                 108,            0.043302,            0.019408,            0.011931,             0.45483,             0.16211,             0.13459,            0.045995,            0.052016,            0.012876,            0.029305,           0.0073517,           0.0073517,           0.0073517
                 109,            0.042964,             0.01929,            0.011842,             0.39936,             0.16915,             0.13037,            0.045612,            0.053097,            0.012836,            0.029573,            0.007327,            0.007327,            0.007327
                 110,            0.043139,            0.019267,            0.011579,               0.437,             0.14288,             0.12738,            0.043842,            0.052092,            0.012784,            0.028737,           0.0073023,           0.0073023,           0.0073023
                 111,            0.042782,            0.019488,            0.011584,             0.44199,             0.13353,             0.12517,            0.041805,            0.053063,            0.012711,            0.031683,           0.0072775,           0.0072775,           0.0072775
                 112,            0.042672,              0.0196,            0.011153,              0.4347,             0.15772,             0.12041,            0.037596,            0.052335,            0.013245,            0.037681,           0.0072527,           0.0072527,           0.0072527
                 113,            0.042759,            0.019367,            0.010985,             0.40655,             0.16797,             0.11949,            0.038889,            0.051923,            0.012776,            0.031495,            0.007228,            0.007228,            0.007228
                 114,            0.042926,            0.019221,            0.011524,             0.41348,              0.1573,             0.12433,            0.043862,            0.053001,            0.012917,            0.031126,           0.0072033,           0.0072033,           0.0072033
                 115,            0.042036,             0.01945,            0.011247,              0.4302,             0.15307,             0.12108,            0.043765,            0.052867,            0.012912,            0.031402,           0.0071785,           0.0071785,           0.0071785
                 116,            0.042747,            0.019304,            0.010551,             0.45203,             0.17529,             0.13567,            0.044696,            0.052807,            0.013048,            0.029477,           0.0071538,           0.0071538,           0.0071538
                 117,            0.042331,            0.019159,            0.010762,             0.42063,             0.14406,              0.1279,            0.044381,            0.052404,            0.013145,            0.032517,            0.007129,            0.007129,            0.007129
                 118,            0.042506,            0.019346,            0.010407,             0.45613,             0.16588,             0.13332,            0.045312,            0.053696,            0.013115,            0.034306,           0.0071042,           0.0071042,           0.0071042
                 119,            0.042245,            0.019125,            0.010033,             0.44397,             0.16252,             0.13588,             0.04873,            0.052924,            0.012944,            0.032969,           0.0070795,           0.0070795,           0.0070795
                 120,            0.042023,             0.01894,           0.0098947,             0.42763,             0.16664,             0.12934,            0.044888,            0.052655,            0.013159,            0.033758,           0.0070547,           0.0070547,           0.0070547
                 121,            0.042228,            0.019446,             0.01058,             0.44337,             0.17006,             0.12603,            0.042091,            0.053348,            0.012882,             0.03125,             0.00703,             0.00703,             0.00703
                 122,            0.041707,            0.018997,            0.010035,             0.40818,             0.16158,             0.12196,             0.04343,            0.052547,            0.012565,            0.032376,           0.0070053,           0.0070053,           0.0070053
                 123,            0.041522,            0.019172,            0.010148,             0.43684,             0.17342,             0.12447,            0.041924,            0.052812,            0.012296,            0.032106,           0.0069805,           0.0069805,           0.0069805
                 124,            0.041756,              0.0191,            0.010096,             0.40659,             0.18492,             0.12774,            0.043146,            0.053764,             0.01289,             0.03056,           0.0069558,           0.0069558,           0.0069558
                 125,            0.041875,            0.019358,           0.0095711,             0.40104,              0.1875,             0.12657,            0.042782,            0.053513,            0.012845,            0.030054,            0.006931,            0.006931,            0.006931
                 126,            0.041619,            0.019243,           0.0099802,             0.42623,             0.18459,             0.13723,            0.047228,            0.054123,            0.013015,            0.027118,           0.0069063,           0.0069063,           0.0069063
                 127,            0.041281,            0.019128,           0.0089851,             0.43109,             0.19867,             0.13289,            0.046582,            0.052883,            0.012946,            0.029534,           0.0068815,           0.0068815,           0.0068815
                 128,            0.041393,            0.019034,           0.0098739,              0.4255,             0.14935,             0.11714,            0.038925,             0.05348,            0.012614,            0.032626,           0.0068568,           0.0068568,           0.0068568
                 129,            0.041166,            0.018928,           0.0095252,             0.43953,              0.1655,             0.12687,            0.042952,            0.054159,            0.012577,            0.031211,            0.006832,            0.006832,            0.006832
                 130,            0.041108,            0.018935,           0.0090222,             0.43432,             0.15704,             0.12295,            0.041823,             0.05426,             0.01257,            0.032383,           0.0068073,           0.0068073,           0.0068073
                 131,            0.041164,            0.018831,           0.0091249,              0.4328,             0.18531,             0.12626,            0.043169,            0.054342,            0.012803,            0.032885,           0.0067825,           0.0067825,           0.0067825
                 132,            0.041136,            0.019274,           0.0091261,             0.46866,             0.15706,             0.13572,            0.045108,            0.053361,            0.012889,            0.032287,           0.0067577,           0.0067577,           0.0067577
                 133,             0.04115,            0.018878,           0.0095306,              0.4299,             0.16383,             0.12545,            0.043254,            0.053709,            0.012794,            0.036201,            0.006733,            0.006733,            0.006733
                 134,            0.040378,            0.018518,           0.0093782,             0.44753,             0.14583,             0.13014,            0.047988,            0.053395,            0.013529,            0.033331,           0.0067082,           0.0067082,           0.0067082
                 135,             0.04051,            0.018745,            0.009005,             0.44303,             0.16607,             0.12502,            0.044868,            0.054403,             0.01282,            0.033111,           0.0066835,           0.0066835,           0.0066835
                 136,            0.040615,            0.018524,           0.0089902,             0.44448,              0.1669,             0.12534,            0.044413,            0.053271,            0.012998,            0.031131,           0.0066587,           0.0066587,           0.0066587
                 137,            0.040864,             0.01819,            0.009422,             0.43497,             0.16597,             0.12647,            0.045121,            0.054379,            0.012619,            0.031688,            0.006634,            0.006634,            0.006634
                 138,            0.040386,            0.018646,           0.0089491,             0.43911,             0.14715,             0.12256,            0.042505,            0.054179,            0.013408,            0.031838,           0.0066092,           0.0066092,           0.0066092
                 139,            0.040092,            0.019044,           0.0084935,               0.412,             0.17277,             0.12342,            0.041528,            0.054196,            0.013086,            0.035816,           0.0065845,           0.0065845,           0.0065845
                 140,            0.040415,            0.018392,           0.0085693,             0.41581,             0.16154,             0.12089,            0.040238,            0.053817,            0.012956,            0.032312,           0.0065598,           0.0065598,           0.0065598
                 141,            0.040094,              0.0184,           0.0077726,              0.4238,             0.18606,             0.12893,            0.043847,            0.054682,            0.012828,             0.03033,            0.006535,            0.006535,            0.006535
                 142,            0.039992,            0.018437,            0.009137,             0.41961,             0.14998,             0.12126,            0.041714,            0.054298,            0.012723,            0.029798,           0.0065102,           0.0065102,           0.0065102
                 143,            0.039848,            0.018275,           0.0084774,             0.40856,             0.16274,              0.1163,            0.040245,            0.054054,            0.012853,            0.032084,           0.0064855,           0.0064855,           0.0064855
                 144,            0.039748,            0.018235,           0.0084207,             0.42894,             0.14893,             0.11666,            0.038571,            0.053711,            0.012829,            0.032631,           0.0064608,           0.0064608,           0.0064608
                 145,             0.04016,            0.018113,           0.0081984,             0.45543,             0.13663,             0.11864,            0.038095,            0.052851,            0.012868,            0.036333,            0.006436,            0.006436,            0.006436
                 146,            0.039883,            0.018305,           0.0085729,             0.40731,             0.17262,             0.12021,            0.039842,             0.05425,             0.01281,             0.03458,           0.0064112,           0.0064112,           0.0064112
                 147,            0.039635,             0.01864,           0.0082806,              0.4365,             0.15078,             0.12187,            0.040938,            0.054877,            0.013173,            0.035145,           0.0063865,           0.0063865,           0.0063865
                 148,            0.039275,            0.018462,           0.0073951,             0.44259,             0.17747,             0.12458,            0.042913,            0.054593,             0.01344,            0.032831,           0.0063618,           0.0063618,           0.0063618
                 149,            0.039287,            0.018533,           0.0077674,             0.41753,             0.17425,             0.11673,            0.039721,            0.055314,            0.013046,             0.03308,            0.006337,            0.006337,            0.006337
                 150,            0.039152,            0.018278,             0.00811,             0.41108,              0.1707,             0.11616,            0.038814,            0.055108,            0.012909,            0.031599,           0.0063122,           0.0063122,           0.0063122
                 151,            0.038933,            0.018354,           0.0078914,             0.38663,             0.18342,             0.11531,             0.03806,            0.055606,            0.013094,            0.034333,           0.0062875,           0.0062875,           0.0062875
                 152,            0.039273,            0.017702,           0.0081191,              0.4327,             0.15772,             0.11851,            0.041134,             0.05497,            0.012889,            0.032428,           0.0062628,           0.0062628,           0.0062628
                 153,            0.039238,            0.018071,           0.0079947,              0.4401,             0.17091,             0.13229,             0.04528,            0.053954,            0.013203,            0.033283,            0.006238,            0.006238,            0.006238
                 154,            0.039156,            0.017689,           0.0083588,             0.40039,              0.1857,             0.12463,            0.041897,            0.054437,            0.012927,            0.033562,           0.0062132,           0.0062132,           0.0062132
                 155,            0.038819,            0.018558,           0.0072856,             0.40827,             0.17424,             0.12182,            0.042546,            0.053695,            0.012927,             0.03336,           0.0061885,           0.0061885,           0.0061885
                 156,            0.038543,            0.017637,           0.0073051,             0.45287,             0.16329,             0.12378,            0.041575,            0.053907,            0.013014,            0.035265,           0.0061637,           0.0061637,           0.0061637
                 157,            0.038324,            0.018075,           0.0071887,             0.41852,              0.1763,             0.12124,            0.041343,            0.054411,            0.013015,            0.033504,            0.006139,            0.006139,            0.006139
                 158,            0.038612,            0.017674,           0.0071444,             0.40638,             0.16667,             0.12477,            0.042816,            0.054358,            0.013321,            0.031813,           0.0061142,           0.0061142,           0.0061142
                 159,            0.038677,            0.018104,           0.0074997,             0.41729,             0.16865,             0.11761,            0.041973,            0.055467,            0.013005,            0.033009,           0.0060895,           0.0060895,           0.0060895
                 160,            0.037932,            0.018202,           0.0072015,             0.41452,             0.17636,             0.11299,            0.039341,            0.054904,            0.013161,            0.032548,           0.0060647,           0.0060647,           0.0060647
                 161,             0.03846,            0.017837,           0.0075556,             0.41392,             0.17116,             0.11724,            0.039274,            0.055124,            0.012792,            0.033242,             0.00604,             0.00604,             0.00604
                 162,            0.037944,            0.017498,           0.0072842,              0.4223,             0.17755,             0.12322,            0.040651,             0.05476,            0.012703,            0.032937,           0.0060152,           0.0060152,           0.0060152
                 163,            0.038296,            0.017791,            0.007235,             0.41296,             0.17707,             0.12494,            0.041579,            0.055136,            0.012837,            0.031941,           0.0059905,           0.0059905,           0.0059905
