               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087179,            0.028759,            0.037036,             0.77199,            0.031405,            0.011691,           0.0027162,            0.053313,            0.010813,              0.0229,            0.070612,           0.0032653,           0.0032653
                   1,            0.062072,             0.02426,            0.026322,             0.79169,            0.052893,            0.028608,           0.0082126,            0.050151,            0.010388,            0.021367,            0.040596,           0.0065823,           0.0065823
                   2,            0.058843,            0.022422,            0.025772,              0.7732,            0.031405,            0.012106,           0.0025468,            0.054309,            0.015599,            0.022957,            0.010563,           0.0098828,           0.0098828
                   3,            0.055912,            0.021752,            0.025223,             0.78875,            0.047521,            0.018569,           0.0051809,            0.049324,            0.014794,            0.023389,           0.0099258,           0.0099258,           0.0099258
                   4,            0.053933,            0.021366,            0.024665,             0.77459,            0.055785,            0.017518,           0.0043788,            0.047037,            0.010785,            0.021422,           0.0099258,           0.0099258,           0.0099258
                   5,            0.052437,            0.021362,            0.024244,             0.54122,             0.02314,            0.020441,           0.0052895,            0.050023,            0.012725,            0.021332,            0.009901,            0.009901,            0.009901
                   6,            0.052557,            0.020997,            0.023804,             0.57881,            0.080579,            0.072427,              0.0234,            0.042848,           0.0094506,             0.02101,           0.0098763,           0.0098763,           0.0098763
                   7,            0.051413,            0.021078,            0.023946,             0.84196,             0.10455,            0.088549,            0.026224,            0.041862,            0.010371,            0.021027,           0.0098515,           0.0098515,           0.0098515
                   8,            0.051597,            0.020857,            0.023525,             0.33648,            0.088076,            0.064911,            0.017381,            0.042813,           0.0095059,            0.020769,           0.0098268,           0.0098268,           0.0098268
                   9,            0.051141,             0.02078,            0.023553,             0.47452,             0.12759,             0.10647,            0.031047,            0.040939,           0.0092298,            0.020158,            0.009802,            0.009802,            0.009802
                  10,            0.050244,             0.02054,            0.023362,             0.57802,             0.11998,             0.09828,            0.030411,            0.042193,            0.009266,            0.020764,           0.0097773,           0.0097773,           0.0097773
                  11,             0.05022,            0.020397,            0.023748,              0.4134,             0.09974,            0.094905,            0.029853,            0.041273,           0.0096743,            0.020987,           0.0097525,           0.0097525,           0.0097525
                  12,            0.050001,            0.020649,            0.023535,             0.85808,            0.077101,            0.087051,            0.028009,            0.042203,           0.0096443,            0.020105,           0.0097278,           0.0097278,           0.0097278
                  13,            0.049937,            0.020447,            0.023249,             0.40522,             0.13142,             0.10591,            0.032375,            0.041457,           0.0092822,            0.021191,            0.009703,            0.009703,            0.009703
                  14,            0.049764,            0.020819,            0.023641,             0.43391,              0.1481,             0.13599,            0.045609,            0.040609,           0.0091421,            0.020598,           0.0096783,           0.0096783,           0.0096783
                  15,            0.049709,            0.020855,            0.022471,              0.3576,            0.045327,            0.044631,            0.011847,            0.043921,              0.0103,            0.021039,           0.0096535,           0.0096535,           0.0096535
                  16,            0.049164,            0.020547,            0.022837,             0.42256,             0.14353,             0.10414,            0.033013,            0.041078,            0.009634,             0.02025,           0.0096288,           0.0096288,           0.0096288
                  17,            0.049382,            0.020658,            0.023085,            0.015349,              0.1978,            0.026923,           0.0082281,            0.046735,            0.013567,            0.023471,            0.009604,            0.009604,            0.009604
                  18,            0.049394,            0.020714,            0.022441,             0.63033,             0.13469,             0.10382,            0.032511,            0.042031,           0.0092816,            0.020349,           0.0095793,           0.0095793,           0.0095793
                  19,             0.04925,            0.020537,            0.022486,             0.36003,             0.12126,             0.10787,            0.032164,            0.042561,           0.0094339,            0.020001,           0.0095545,           0.0095545,           0.0095545
                  20,            0.049003,            0.020473,            0.021924,             0.42417,             0.17089,              0.1273,            0.041777,            0.041322,           0.0094863,            0.019833,           0.0095298,           0.0095298,           0.0095298
                  21,            0.048962,            0.020758,            0.022115,             0.41249,             0.13868,             0.11698,            0.039766,            0.041084,           0.0089239,            0.021985,            0.009505,            0.009505,            0.009505
                  22,            0.049199,            0.020623,            0.022128,             0.43129,             0.15166,             0.10795,            0.031997,            0.040972,            0.009368,            0.022726,           0.0094803,           0.0094803,           0.0094803
                  23,            0.049248,            0.020414,            0.021976,              0.6775,             0.10608,            0.089584,             0.02531,            0.042309,           0.0098526,            0.020613,           0.0094555,           0.0094555,           0.0094555
                  24,            0.049616,            0.020369,            0.021873,             0.44044,             0.14337,             0.11079,            0.034989,            0.041448,           0.0093947,            0.021257,           0.0094307,           0.0094307,           0.0094307
                  25,            0.048979,             0.02043,            0.021682,             0.42792,             0.15364,             0.12566,            0.039554,             0.04057,           0.0094135,            0.021292,            0.009406,            0.009406,            0.009406
                  26,            0.048786,             0.02033,            0.021557,             0.57803,             0.08625,            0.074166,            0.021357,            0.043452,           0.0093866,            0.022015,           0.0093813,           0.0093813,           0.0093813
                  27,            0.048828,            0.020649,            0.021396,             0.38854,             0.12396,            0.098167,            0.029818,            0.041852,           0.0094992,            0.021051,           0.0093565,           0.0093565,           0.0093565
                  28,            0.048555,            0.020832,            0.020836,             0.37763,            0.046664,            0.042192,             0.01233,            0.045127,            0.012367,            0.026668,           0.0093317,           0.0093317,           0.0093317
                  29,            0.048642,            0.020321,            0.021215,             0.36113,            0.045303,            0.064148,            0.019801,            0.043749,            0.010202,             0.02077,            0.009307,            0.009307,            0.009307
                  30,            0.048656,            0.020483,            0.021548,             0.33865,            0.042327,            0.038892,            0.013271,            0.044079,            0.012986,            0.023926,           0.0092823,           0.0092823,           0.0092823
                  31,            0.048066,            0.020174,            0.020994,             0.39018,             0.14637,             0.11136,            0.035148,            0.041038,           0.0091019,            0.021283,           0.0092575,           0.0092575,           0.0092575
                  32,            0.048182,            0.020174,            0.020995,             0.38462,             0.14852,              0.1265,            0.041555,            0.040923,           0.0091084,            0.021922,           0.0092327,           0.0092327,           0.0092327
                  33,             0.04855,            0.020264,            0.021037,             0.40253,              0.1295,              0.1111,            0.033817,             0.04115,           0.0091949,            0.022308,            0.009208,            0.009208,            0.009208
                  34,            0.048084,             0.02028,            0.020515,             0.37159,             0.13742,             0.10198,            0.033059,            0.042515,            0.009403,            0.024297,           0.0091833,           0.0091833,           0.0091833
                  35,            0.047879,            0.020283,            0.020527,             0.36007,             0.09934,            0.078395,            0.021664,            0.043386,           0.0094385,            0.023727,           0.0091585,           0.0091585,           0.0091585
                  36,            0.048014,            0.020141,            0.020507,             0.36713,              0.1324,              0.1036,            0.035313,            0.041428,           0.0094612,            0.024124,           0.0091337,           0.0091337,           0.0091337
                  37,            0.048097,            0.020409,             0.02011,             0.46261,             0.14271,             0.11571,            0.038772,            0.041021,           0.0094087,            0.022192,            0.009109,            0.009109,            0.009109
                  38,            0.048405,            0.020815,            0.019709,             0.36437,             0.11593,            0.097035,            0.029617,            0.041327,           0.0093562,            0.025333,           0.0090843,           0.0090843,           0.0090843
                  39,            0.048204,            0.020167,            0.019999,             0.37161,            0.069353,             0.07066,            0.021329,            0.042991,            0.010221,            0.021971,           0.0090595,           0.0090595,           0.0090595
                  40,            0.048064,            0.020586,            0.020216,               0.448,             0.12496,             0.10143,            0.034223,            0.041757,           0.0094266,            0.021632,           0.0090347,           0.0090347,           0.0090347
                  41,            0.047879,            0.020577,            0.019949,             0.47242,             0.15223,             0.11964,            0.037947,            0.040786,           0.0093295,            0.020544,             0.00901,             0.00901,             0.00901
                  42,            0.047825,            0.020796,            0.019324,             0.49327,             0.13469,             0.12506,            0.039436,            0.040249,           0.0088455,            0.023949,           0.0089853,           0.0089853,           0.0089853
                  43,             0.04779,            0.020354,            0.019321,             0.48423,             0.15376,             0.13009,              0.0446,            0.040336,           0.0088348,             0.02094,           0.0089605,           0.0089605,           0.0089605
                  44,            0.047625,            0.020873,            0.019311,             0.39182,             0.14395,             0.11363,            0.036935,            0.040476,           0.0089435,            0.021739,           0.0089358,           0.0089358,           0.0089358
                  45,            0.047529,            0.020487,            0.019383,             0.42719,             0.14412,             0.12101,            0.040919,            0.040953,           0.0089278,            0.022171,            0.008911,            0.008911,            0.008911
                  46,            0.047528,            0.020341,             0.01854,             0.48104,             0.12875,             0.12143,            0.040399,            0.040319,           0.0088241,            0.024297,           0.0088863,           0.0088863,           0.0088863
                  47,            0.047348,            0.020205,            0.019217,             0.42889,             0.16059,             0.12255,            0.037943,            0.041321,           0.0090308,            0.020135,           0.0088615,           0.0088615,           0.0088615
                  48,            0.047118,            0.020165,            0.018407,             0.43891,             0.14403,             0.12061,            0.038898,            0.040207,           0.0091489,            0.022835,           0.0088368,           0.0088368,           0.0088368
                  49,            0.047463,            0.020196,             0.01885,             0.43281,              0.1514,             0.12028,            0.041124,             0.04174,           0.0090238,             0.02458,            0.008812,            0.008812,            0.008812
                  50,            0.047651,            0.020312,            0.018243,             0.41027,             0.11619,             0.10044,            0.031968,            0.041392,           0.0096673,             0.02244,           0.0087872,           0.0087872,           0.0087872
                  51,            0.046931,            0.020155,            0.018754,             0.37104,             0.14685,             0.10533,            0.035691,            0.041595,           0.0093181,            0.023831,           0.0087625,           0.0087625,           0.0087625
                  52,            0.047347,             0.02031,             0.01829,             0.40803,             0.15124,             0.12515,            0.038748,            0.040451,           0.0090356,            0.021062,           0.0087378,           0.0087378,           0.0087378
                  53,            0.047371,             0.02025,            0.017655,             0.40702,             0.14014,             0.11066,            0.038139,            0.042192,           0.0094609,            0.021954,            0.008713,            0.008713,            0.008713
                  54,            0.047189,            0.019984,            0.017791,             0.40722,             0.16975,             0.11888,            0.039048,            0.042123,           0.0090706,            0.023901,           0.0086882,           0.0086882,           0.0086882
                  55,            0.046955,             0.02013,            0.018116,             0.41004,             0.15731,             0.12438,            0.039445,            0.040669,           0.0089454,            0.023222,           0.0086635,           0.0086635,           0.0086635
                  56,            0.046477,            0.020229,            0.017868,             0.41631,             0.14556,             0.11744,            0.039438,             0.04048,           0.0090196,            0.022842,           0.0086388,           0.0086388,           0.0086388
                  57,            0.047235,            0.020618,             0.01778,             0.38113,             0.16343,             0.12848,            0.041551,            0.040501,           0.0088763,            0.022952,            0.008614,            0.008614,            0.008614
                  58,            0.046656,            0.020234,            0.016982,             0.42251,             0.16675,             0.12289,            0.042066,            0.040689,           0.0092899,            0.022202,           0.0085893,           0.0085893,           0.0085893
                  59,            0.046918,            0.020082,            0.017702,             0.39494,            0.052224,            0.052347,            0.014097,            0.044471,            0.010528,            0.025027,           0.0085645,           0.0085645,           0.0085645
                  60,              0.0466,             0.02056,            0.017319,             0.39325,             0.13215,             0.10632,            0.035461,            0.042782,           0.0092235,            0.023337,           0.0085398,           0.0085398,           0.0085398
                  61,            0.046789,            0.019995,            0.017407,             0.40014,             0.11991,             0.10814,            0.033194,            0.040568,           0.0090566,            0.022652,            0.008515,            0.008515,            0.008515
                  62,            0.046426,            0.020233,            0.017197,             0.53295,            0.066508,            0.065959,            0.019976,            0.047458,           0.0096192,             0.02177,           0.0084903,           0.0084903,           0.0084903
                  63,            0.046866,             0.02056,            0.017734,             0.38021,             0.13222,             0.10221,            0.030567,            0.040967,           0.0090448,            0.023688,           0.0084655,           0.0084655,           0.0084655
                  64,            0.045983,            0.020529,            0.016641,             0.44454,             0.13519,             0.12862,             0.04332,            0.040947,           0.0090628,             0.02422,           0.0084408,           0.0084408,           0.0084408
                  65,              0.0465,            0.020154,            0.016486,             0.42545,             0.17376,             0.12659,            0.039923,            0.040767,           0.0090859,            0.023657,            0.008416,            0.008416,            0.008416
                  66,            0.046653,            0.020126,            0.016668,             0.38949,             0.16618,             0.12586,            0.041072,            0.040842,           0.0092469,            0.022525,           0.0083913,           0.0083913,           0.0083913
                  67,            0.046152,            0.020045,            0.016444,             0.39863,              0.1516,             0.11478,            0.037064,            0.040962,           0.0091076,            0.024265,           0.0083665,           0.0083665,           0.0083665
