               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074569,            0.028342,            0.034454,           0.0042768,             0.50383,            0.069533,            0.018788,            0.043305,            0.011239,             0.02325,            0.070612,           0.0032653,           0.0032653
                   1,             0.05716,            0.024526,            0.026926,             0.84031,             0.10496,            0.093413,            0.029899,            0.043006,           0.0088269,            0.022296,             0.04059,           0.0065769,           0.0065769
                   2,            0.051773,            0.021523,            0.025931,             0.85847,            0.097934,            0.098852,            0.032097,            0.041105,           0.0092489,             0.02209,            0.010547,           0.0098664,           0.0098664
                   3,            0.050129,            0.020785,            0.025503,             0.87608,             0.12025,             0.12702,            0.044031,            0.039186,           0.0092714,            0.021921,            0.009901,            0.009901,            0.009901
                   4,            0.049418,            0.020291,            0.024994,             0.87513,              0.1062,             0.12248,            0.040015,            0.039557,           0.0088816,            0.021147,            0.009901,            0.009901,            0.009901
                   5,            0.048862,            0.020511,            0.024846,             0.87606,              0.1219,             0.12957,            0.044583,             0.03904,           0.0089276,            0.020818,            0.009868,            0.009868,            0.009868
                   6,            0.049035,            0.020348,            0.024237,             0.86047,             0.11983,             0.11993,            0.040883,            0.040317,           0.0090711,            0.021147,            0.009835,            0.009835,            0.009835
                   7,            0.048346,            0.020496,            0.024381,             0.58248,            0.048919,            0.040602,            0.012595,            0.045138,            0.010957,            0.021472,            0.009802,            0.009802,            0.009802
                   8,            0.048665,            0.020365,            0.023924,              0.4038,             0.11065,            0.095166,            0.030756,            0.040446,           0.0097615,            0.020605,            0.009769,            0.009769,            0.009769
                   9,            0.048397,            0.020379,            0.023867,             0.43097,              0.1582,             0.13039,            0.044385,            0.039504,            0.008962,            0.020404,            0.009736,            0.009736,            0.009736
                  10,             0.04789,            0.020219,            0.023666,             0.43116,            0.099195,            0.096328,             0.02946,            0.040989,            0.010262,             0.02043,            0.009703,            0.009703,            0.009703
                  11,            0.048115,            0.020033,            0.024073,             0.42844,             0.13501,             0.11392,            0.037528,            0.039454,           0.0091642,            0.020491,             0.00967,             0.00967,             0.00967
                  12,            0.047879,            0.020407,            0.023562,             0.43858,             0.15717,             0.13022,            0.042841,            0.039407,           0.0091087,            0.019783,            0.009637,            0.009637,            0.009637
                  13,            0.047877,            0.020119,            0.023437,           0.0050106,             0.29767,            0.016759,           0.0042119,            0.049958,            0.011249,            0.022585,            0.009604,            0.009604,            0.009604
                  14,            0.047755,            0.020561,            0.023934,             0.42517,             0.11448,             0.10249,            0.033103,             0.04085,           0.0092554,            0.021347,            0.009571,            0.009571,            0.009571
