               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067556,            0.011002,                   0,           0.0030079,             0.33891,           0.0064335,           0.0015031,            0.015674,           0.0047649,                   0,            0.070022,           0.0033308,           0.0033308
                   1,            0.055014,            0.008291,                   0,             0.22467,             0.32008,             0.19244,            0.049134,             0.01256,           0.0038463,                   0,            0.040009,            0.006651,            0.006651
                   2,            0.053938,            0.007675,                   0,             0.30645,              0.2364,             0.18918,            0.047444,            0.013331,           0.0038783,                   0,           0.0099829,           0.0099579,           0.0099579
                   3,            0.053084,           0.0075258,                   0,             0.19942,             0.18828,             0.11589,            0.027987,            0.014501,           0.0038103,                   0,           0.0099406,           0.0099406,           0.0099406
                   4,             0.05106,           0.0074882,                   0,             0.32306,             0.31599,              0.2277,            0.055368,            0.013181,           0.0036559,                   0,           0.0099406,           0.0099406,           0.0099406
                   5,            0.050184,           0.0072946,                   0,              0.2903,             0.21351,             0.17447,            0.042982,            0.012522,           0.0045083,                   0,           0.0099208,           0.0099208,           0.0099208
                   6,            0.049838,           0.0072146,                   0,             0.36477,               0.409,              0.2912,            0.070003,            0.012755,           0.0033787,                   0,            0.009901,            0.009901,            0.009901
                   7,            0.049176,           0.0070578,                   0,              0.4162,             0.41946,             0.36197,             0.10258,            0.012428,           0.0033991,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,             0.04884,           0.0070404,                   0,             0.43178,             0.39121,             0.37954,             0.11462,             0.01198,           0.0034036,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,            0.048558,           0.0072331,                   0,             0.38306,             0.43515,             0.32568,            0.079996,            0.013153,            0.003288,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,            0.047986,           0.0070566,                   0,             0.39974,             0.37448,             0.33582,            0.082643,            0.012894,           0.0033637,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.047896,           0.0070271,                   0,             0.43639,             0.46967,              0.3989,             0.11255,            0.012129,           0.0033505,                   0,            0.009802,            0.009802,            0.009802
                  12,            0.047743,           0.0069004,                   0,             0.43661,             0.45921,             0.38441,              0.1087,            0.012681,            0.003266,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,            0.047537,           0.0069906,                   0,              0.4242,              0.4864,             0.40385,             0.10671,            0.012627,           0.0032475,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,            0.047452,           0.0069971,                   0,             0.43255,             0.43828,             0.39225,             0.10667,            0.012169,           0.0032777,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,            0.047231,           0.0069324,                   0,             0.43186,             0.49686,             0.41594,             0.12984,            0.012195,           0.0032527,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,            0.047032,           0.0069679,                   0,             0.47297,             0.48849,             0.44309,             0.12007,             0.01233,            0.003181,                   0,            0.009703,            0.009703,            0.009703
                  17,            0.047056,           0.0069503,                   0,             0.44067,             0.47803,             0.41483,             0.13329,             0.01201,           0.0032339,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,            0.046857,           0.0069681,                   0,             0.47968,             0.47385,             0.43985,             0.12883,            0.011922,            0.003275,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,            0.047188,           0.0069437,                   0,             0.45631,             0.50732,             0.42398,             0.11922,            0.012434,           0.0031955,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,            0.046916,           0.0068973,                   0,             0.46866,              0.4864,             0.43919,             0.13585,            0.012288,           0.0031812,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,            0.046756,           0.0070211,                   0,             0.46808,             0.51546,              0.4563,             0.13597,            0.011905,           0.0031954,                   0,            0.009604,            0.009604,            0.009604
                  22,             0.04728,           0.0069119,                   0,             0.46515,             0.48222,             0.42876,             0.12055,            0.012265,           0.0031929,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,            0.046469,           0.0068942,                   0,             0.47235,             0.50105,             0.45748,             0.14357,            0.011973,           0.0032465,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,            0.046934,           0.0067834,                   0,             0.46774,             0.51017,             0.43775,             0.11909,            0.012276,           0.0031585,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,             0.04645,           0.0068579,                   0,             0.48752,             0.50418,             0.46167,             0.14056,            0.012027,           0.0031889,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,            0.046201,            0.006911,                   0,             0.45725,             0.52406,             0.45506,             0.13552,            0.012331,           0.0031682,                   0,            0.009505,            0.009505,            0.009505
                  27,            0.046665,           0.0069535,                   0,             0.46029,             0.49601,             0.45695,             0.13757,            0.012006,           0.0031766,                   0,           0.0094852,           0.0094852,           0.0094852
                  28,            0.046799,           0.0068665,                   0,              0.4624,             0.49305,             0.45477,             0.13811,            0.012275,           0.0031618,                   0,           0.0094654,           0.0094654,           0.0094654
                  29,            0.046629,           0.0068843,                   0,             0.44461,             0.51331,             0.45394,             0.13467,            0.012146,           0.0031922,                   0,           0.0094456,           0.0094456,           0.0094456
                  30,            0.046065,           0.0068847,                   0,             0.45798,             0.50908,             0.45622,             0.14167,            0.011981,           0.0031809,                   0,           0.0094258,           0.0094258,           0.0094258
                  31,            0.046306,           0.0068323,                   0,              0.4641,             0.50105,             0.45296,             0.14219,            0.012198,           0.0031571,                   0,            0.009406,            0.009406,            0.009406
                  32,            0.046156,           0.0068416,                   0,             0.46472,             0.51151,             0.45821,             0.14176,            0.012136,            0.003163,                   0,           0.0093862,           0.0093862,           0.0093862
                  33,             0.04622,           0.0067822,                   0,             0.47051,             0.50523,             0.45643,             0.13821,            0.011997,           0.0031829,                   0,           0.0093664,           0.0093664,           0.0093664
                  34,             0.04618,           0.0069257,                   0,             0.46293,             0.49477,             0.45617,             0.13326,            0.012078,           0.0031907,                   0,           0.0093466,           0.0093466,           0.0093466
                  35,            0.046062,           0.0068435,                   0,             0.44735,             0.51651,             0.45858,             0.12932,            0.012129,           0.0031849,                   0,           0.0093268,           0.0093268,           0.0093268
                  36,            0.046068,           0.0068331,                   0,             0.44554,             0.51861,             0.46003,             0.13687,            0.012133,           0.0031766,                   0,            0.009307,            0.009307,            0.009307
                  37,             0.04562,           0.0068709,                   0,              0.4517,             0.51883,             0.46507,             0.13758,            0.012162,            0.003181,                   0,           0.0092872,           0.0092872,           0.0092872
                  38,            0.046049,           0.0068034,                   0,             0.47489,             0.50837,             0.46884,             0.13824,            0.012166,            0.003189,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.045821,           0.0068161,                   0,             0.47218,             0.50314,             0.46437,               0.139,            0.012178,           0.0031937,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.045756,           0.0067964,                   0,             0.47107,             0.50773,             0.45985,             0.13765,            0.012179,           0.0031916,                   0,           0.0092278,           0.0092278,           0.0092278
