               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072944,            0.027552,            0.030362,           0.0036419,             0.82189,            0.095306,            0.025546,            0.055301,            0.013421,            0.026429,            0.070099,           0.0033224,           0.0033224
                   1,            0.056017,            0.023215,            0.025669,             0.82378,             0.13887,             0.15388,             0.04387,            0.050985,            0.011246,            0.026095,            0.040086,           0.0066425,           0.0066425
                   2,            0.051185,            0.021723,             0.02536,             0.84249,             0.14336,             0.16733,               0.057,             0.04972,             0.01131,            0.025789,            0.010059,           0.0099495,           0.0099495
                   3,            0.050128,            0.020934,            0.025539,             0.82616,             0.12979,             0.15059,             0.04399,            0.049798,            0.012132,               0.026,           0.0099406,           0.0099406,           0.0099406
                   4,            0.049167,            0.020524,            0.025183,             0.82779,             0.14867,             0.17276,            0.054786,            0.050128,             0.01132,            0.025974,           0.0099406,           0.0099406,           0.0099406
                   5,            0.048799,            0.020644,             0.02521,             0.84429,             0.14572,             0.18375,            0.066116,            0.049746,            0.011073,            0.025297,           0.0099208,           0.0099208,           0.0099208
                   6,            0.048835,            0.020557,            0.025314,             0.41095,             0.21694,             0.18468,            0.063002,            0.049632,            0.011337,             0.02585,            0.009901,            0.009901,            0.009901
                   7,            0.048193,            0.021034,            0.024564,             0.33087,             0.21628,             0.18745,            0.063357,            0.049108,            0.011265,            0.024933,           0.0098812,           0.0098812,           0.0098812
                   8,            0.048533,            0.020823,            0.024458,             0.28668,             0.22748,             0.20148,             0.06875,            0.049318,            0.011024,            0.024924,           0.0098614,           0.0098614,           0.0098614
                   9,            0.047957,            0.020605,            0.023421,             0.30468,             0.19878,             0.19778,            0.068571,            0.049101,             0.01118,            0.024635,           0.0098416,           0.0098416,           0.0098416
                  10,            0.048023,             0.02056,            0.023615,              0.1922,             0.13524,             0.12542,            0.038081,            0.052161,            0.012811,            0.027723,           0.0098218,           0.0098218,           0.0098218
