               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0751,            0.027192,            0.030361,             0.69117,            0.020035,            0.015984,           0.0040585,            0.065688,            0.012577,            0.025917,            0.070099,           0.0033224,           0.0033224
                   1,            0.058587,             0.02336,            0.025285,             0.77101,             0.11032,            0.091626,            0.026668,            0.056238,             0.01199,             0.02623,            0.040086,           0.0066425,           0.0066425
                   2,            0.055983,            0.022551,            0.025226,             0.79697,             0.10501,            0.093164,            0.026959,            0.056529,            0.012284,            0.026552,            0.010059,           0.0099495,           0.0099495
                   3,            0.054874,            0.021737,            0.025378,             0.79575,             0.13274,             0.11553,            0.034553,            0.054077,            0.011882,             0.02612,           0.0099406,           0.0099406,           0.0099406
                   4,             0.05337,            0.021142,            0.024988,             0.76243,             0.10383,            0.087622,            0.025221,            0.055222,            0.012131,            0.026315,           0.0099406,           0.0099406,           0.0099406
                   5,            0.052181,            0.021258,            0.024818,             0.77564,             0.11061,             0.09587,            0.028084,            0.054762,            0.012317,             0.02538,           0.0099208,           0.0099208,           0.0099208
                   6,            0.051968,            0.021116,            0.024995,             0.46208,             0.16873,              0.1726,            0.057993,            0.051184,            0.011462,            0.027626,            0.009901,            0.009901,            0.009901
                   7,            0.050919,            0.021404,             0.02452,             0.81503,             0.13746,             0.13631,            0.043951,            0.052478,            0.011608,            0.025128,           0.0098812,           0.0098812,           0.0098812
                   8,            0.051391,            0.021318,            0.024575,             0.45524,             0.16578,             0.16849,            0.058468,            0.051798,            0.011581,            0.024872,           0.0098614,           0.0098614,           0.0098614
                   9,            0.050222,            0.020953,             0.02352,             0.83177,             0.14631,             0.16311,            0.050909,            0.051256,            0.011446,            0.025206,           0.0098416,           0.0098416,           0.0098416
                  10,            0.050396,            0.020864,            0.023855,              0.1923,               0.174,             0.15498,            0.048769,            0.051181,            0.011456,            0.025536,           0.0098218,           0.0098218,           0.0098218
                  11,            0.050247,            0.020975,            0.023823,             0.36029,             0.16306,             0.14286,            0.043132,            0.052083,             0.01188,            0.025523,            0.009802,            0.009802,            0.009802
                  12,            0.049742,            0.020795,            0.023638,             0.15752,             0.16043,             0.14309,            0.042932,            0.050618,            0.011909,            0.024295,           0.0097822,           0.0097822,           0.0097822
                  13,            0.049593,            0.020663,            0.023719,             0.18713,             0.19909,             0.17378,             0.05278,            0.051086,            0.011387,            0.024799,           0.0097624,           0.0097624,           0.0097624
